UHRF1	Hs.108106
POLE3	Hs.108112
WNT11	Hs.108219
C14orf68	Hs.108268
NR2C1	Hs.108301
UBE2D2	Hs.108332
E2F4	Hs.108371
APH1A	Hs.108408
RAN	Hs.10842
SAT2	Hs.10846
BMS1	Hs.10848
TMEM30A	Hs.108530
CLASP2	Hs.108614
AK3L1	Hs.10862
RPS27L	Hs.108957
C19orf56	Hs.108969
DPM2	Hs.108973
DPEP1	Hs.109
GPATCH3	Hs.10903
SH3BGRL3	Hs.109051
C14orf2	Hs.109052
MRPL12	Hs.109059
CYP2U1	Hs.109087
KLHL17	Hs.109212
VCAM1	Hs.109225
ATP10B	Hs.109358
PPP1R1C	Hs.10941
HUNK	Hs.109437
OGN	Hs.109439
RYR2	Hs.109514
VPS36	Hs.109520
ZNF551	Hs.109540
ZNF776	Hs.109540
STBD1	Hs.109590
FAM47E	Hs.109590
CRISP1	Hs.109620
SCML1	Hs.109655
ST6GALNAC6	Hs.109672
GLG1	Hs.109731
C6orf108	Hs.109752
NDUFB3	Hs.109760
WDR48	Hs.109778
GRIPAP1	Hs.109929
ITGB1BP2	Hs.109999
CEACAM3	Hs.11
GIF	Hs.110014
C1QTNF2	Hs.110062
FAM133A	Hs.110069
CRCT1	Hs.110196
ACBD4	Hs.110298
PPIC	Hs.110364
PDZD11	Hs.11042
SBDS	Hs.110445
DPM3	Hs.110477
CHSY1	Hs.110488
ZDBF2	Hs.110489
GADD45B	Hs.110571
HOXA10	Hs.110637
C17orf28	Hs.11067
APOC1	Hs.110675
SF3B5	Hs.110695
MMGT1	Hs.110702
RRP1	Hs.110757
TUBB4	Hs.110837
ZKSCAN5	Hs.110839
ESRRA	Hs.110849
IL22RA1	Hs.110915
FGF9	Hs.111
CABLES1	Hs.11108
ALKBH7	Hs.111099
ZNF576	Hs.11110
LOC100170229	Hs.11110
RNF182	Hs.111164
ZIC3	Hs.111227
SPCS1	Hs.11125
ALOX15B	Hs.111256
MRPS11	Hs.111286
P2RY8	Hs.111377
FLJ16779	Hs.111539
ARL4C	Hs.111554
ITM2C	Hs.111577
ZDHHC19	Hs.111591
LTBR	Hs.1116
LSM3	Hs.111632
FCGBP	Hs.111732
PMS1	Hs.111749
SPARC	Hs.111779
SRRT	Hs.111801
SMCP	Hs.111850
GLI2	Hs.111867
FCGRT	Hs.111903
CYP3A7	Hs.111944
C1orf216	Hs.112023
SIVA1	Hs.112058
DEFB129	Hs.112087
TGIF2LY	Hs.112148
ZNF467	Hs.112158
PIF1	Hs.112160
CPT1C	Hs.112195
XAGE1D	Hs.112208
XAGE1C	Hs.112208
XAGE1E	Hs.112208
XAGE1A	Hs.112208
XAGE1B	Hs.112208
GPR35	Hs.112218
CAPN10	Hs.112218
C15orf48	Hs.112242
TOMM7	Hs.112318
PI3	Hs.112341
VSIG2	Hs.112377
S100A9	Hs.112405
S100A7	Hs.112408
DKFZP586I1420	Hs.112423
AMH	Hs.112432
TAF11	Hs.112444
KRTDAP	Hs.112457
BZRAP1	Hs.112499
ZNF579	Hs.112529
RPL41	Hs.112553
ZNF202	Hs.112556
GAN	Hs.112569
KIAA1853	Hs.112577
CCDC114	Hs.112645
LOC148145	Hs.112651
DNAI1	Hs.112667
ZNF316	Hs.112668
PPM1F	Hs.112728
SYCP1	Hs.112743
RNASE11	Hs.112761
RNASE12	Hs.112761
C20orf79	Hs.112794
IGSF11	Hs.112873
C7orf62	Hs.112877
NACC2	Hs.112895
SLC3A1	Hs.112916
C12orf50	Hs.112930
PARD6A	Hs.112933
TTC39A	Hs.112949
SEC61A2	Hs.112955
FOXE3	Hs.112968
DEPDC6	Hs.112981
UCMA	Hs.112998
CORO2A	Hs.113094
C20orf4	Hs.11314
GARNL1	Hs.113150
ITGA9	Hs.113157
IFNA21	Hs.113211
OXT	Hs.113216
CCR8	Hs.113222
DAO	Hs.113227
PAX7	Hs.113253
SNAPC4	Hs.113265
P2RX6	Hs.113275
LILRA3	Hs.113277
DLGAP2	Hs.113287
MAGEB3	Hs.113290
MAGEB4	Hs.113291
C22orf36	Hs.113314
TMPO	Hs.11355
NF1	Hs.113577
CDH12	Hs.113684
CLPX	Hs.113823
MAGEB2	Hs.113824
OMG	Hs.113874
WHSC1	Hs.113876
GABRD	Hs.113882
RAPGEF2	Hs.113912
CXCR5	Hs.113916
CCDC23	Hs.113919
FIGF	Hs.11392
CCDC146	Hs.113940
LOC100132832	Hs.113940
SSR1	Hs.114033
CAGE1	Hs.114033
PTPLA	Hs.114062
ENPP7	Hs.114084
CCDC92	Hs.114111
RABAC1	Hs.11417
BHMT2	Hs.114172
ZCCHC2	Hs.114191
C18orf49	Hs.114191
MAP2K5	Hs.114198
ZNF81	Hs.114246
CD9	Hs.114286
APOL1	Hs.114309
GP9	Hs.1144
TXNL1	Hs.114412
LOC388948	Hs.114449
LOC100134259	Hs.114449
GPR55	Hs.114545
FAM24B	Hs.114648
CCDC153	Hs.114777
CRLF1	Hs.114948
ACTR6	Hs.115088
APOL4	Hs.115099
ZNF780A	Hs.115140
SF3A2	Hs.115232
DRG1	Hs.115242
EREG	Hs.115263
UTY	Hs.115277
ZNF213	Hs.115284
RAB7L1	Hs.115325
SNHG9	Hs.115329
BANF2	Hs.115366
OVGP1	Hs.1154
RIMBP3	Hs.115429
RIMBP3C	Hs.115429
RIMBP3B	Hs.115429
CCIN	Hs.115460
C18orf34	Hs.115461
LYRM7	Hs.115467
RFC3	Hs.115474
RERGL	Hs.115497
CRHBP	Hs.115617
HS3ST2	Hs.115830
TMC5	Hs.115838
PLBD2	Hs.115896
CTSF	Hs.11590
PATL2	Hs.11594
ANKS4B	Hs.115959
C14orf126	Hs.116014
EPHB1	Hs.116092
WFDC8	Hs.116128
CCDC113	Hs.11614
ADAM7	Hs.116147
STYXL1	Hs.11615
LOC199899	Hs.116210
LOC100132005	Hs.116233
VAV1	Hs.116237
TMEM67	Hs.116240
WDR62	Hs.116244
GABRA2	Hs.116250
C22orf15	Hs.116254
LOC348120	Hs.116287
DNAJC5G	Hs.116303
LOC100129716	Hs.116364
LOC642852	Hs.11637
ACSL5	Hs.11638
MEI1	Hs.116419
SCGN	Hs.116428
GLS	Hs.116448
MAN2A2	Hs.116459
HNF4A	Hs.116462
PRAC	Hs.116467
CDH11	Hs.116471
CD72	Hs.116481
C18orf25	Hs.116486
THPO	Hs.1166
MARS2	Hs.116602
KC6	Hs.116612
ZNF607	Hs.116622
ZNF781	Hs.116622
MPZL2	Hs.116651
KBTBD8	Hs.116665
FOXR1	Hs.116679
AKR1B10	Hs.116724
tcag7.1260	Hs.116724
C1orf95	Hs.116827
TRAPPC9	Hs.116828
SLC17A8	Hs.116871
C3orf63	Hs.116877
ZNF521	Hs.116935
OTC	Hs.117050
ECM2	Hs.117060
ELF5	Hs.11713
CCDC85A	Hs.117136
SLC46A3	Hs.117167
COL22A1	Hs.117169
SLC27A2	Hs.11729
TREML1	Hs.117331
HCST	Hs.117339
SLC22A1	Hs.117367
YTHDF1	Hs.11747
PDE4D	Hs.117545
SLC4A3	Hs.1176
CABP5	Hs.117694
ST5	Hs.117715
PRPF3	Hs.11776
KCNS1	Hs.117780
C16orf89	Hs.11782
FGD4	Hs.117835
ABCD2	Hs.117852
LOC146880	Hs.117853
LOC646022	Hs.117853
LOC401397	Hs.117929
COL17A1	Hs.117938
FAM189A2	Hs.118003
RPS4X	Hs.118076
BST2	Hs.118110
LOC100129681	Hs.118110
ACTC1	Hs.118127
C10orf11	Hs.118161
DENND5B	Hs.118166
LOC144486	Hs.118205
CABC1	Hs.118241
DNASE2	Hs.118243
ATXN7L2	Hs.118248
CACNA1C	Hs.118262
DUSP2	Hs.1183
UBE3C	Hs.118351
DCAF10	Hs.118394
FSCN1	Hs.118400
MIA3	Hs.118474
MRGPRF	Hs.118513
TMEM132A	Hs.118552
LACTB2	Hs.118554
FSCN2	Hs.118555
HOXC13	Hs.118608
SERPINA10	Hs.118620
TIMELESS	Hs.118631
OASL	Hs.118633
DVL2	Hs.118640
HHEX	Hs.118651
FLAD1	Hs.118666
ERBB3	Hs.118681
KCNG1	Hs.118695
SYT10	Hs.118703
HES2	Hs.118727
RBM15B	Hs.118738
LOC152217	Hs.118820
TNNC1	Hs.118845
SLC25A35	Hs.118918
STX11	Hs.118958
GSDMD	Hs.118983
ZNF175	Hs.119014
SMC2	Hs.119023
PRR18	Hs.119062
BRE	Hs.11916
RBKS	Hs.11916
ARF3	Hs.119177
H2AFZ	Hs.119192
LOC283079	Hs.119207
YIPF1	Hs.11923
UQCRC1	Hs.119251
ZNF646	Hs.119273
APCDD1L	Hs.119286
hCG_2008140	Hs.119298
PET112L	Hs.119316
TMEM63A	Hs.119387
AP2S1	Hs.119591
CIT	Hs.119594
RPL3	Hs.119598
CGA	Hs.119689
PCDHB5	Hs.119693
HSPE1	Hs.1197
SPTA1	Hs.119825
MLKL	Hs.119878
CDK6	Hs.119882
RAP2C	Hs.119889
LRRC27	Hs.119897
CEACAM4	Hs.12
PRDX6	Hs.120
RGS22	Hs.120021
RELL2	Hs.120094
ABCE1	Hs.12013
LETM1	Hs.120165
LOC100130288	Hs.120196
MLL2	Hs.120228
PARP15	Hs.120250
FCRL4	Hs.120260
TSGA10	Hs.120267
C4orf35	Hs.120316
NT5C1B	Hs.120319
SPATS2L	Hs.120323
ARMS2	Hs.120359
LOC285194	Hs.120364
TSP50	Hs.120365
FNDC8	Hs.120369
HORMAD2	Hs.120391
C16orf85	Hs.120392
MGC44328	Hs.120399
DCAF12L1	Hs.120403
SOHLH1	Hs.120464
40059	Hs.120483
TLR10	Hs.120551
ASGR1	Hs.12056
CCDC70	Hs.120573
BEND4	Hs.120591
OSMR	Hs.120658
CRAT	Hs.12068
CACNB4	Hs.120725
APOB	Hs.120759
ZNF330	Hs.120766
CCDC68	Hs.120790
LIN9	Hs.120817
C5orf26	Hs.12082
C16orf82	Hs.120831
TUFM	Hs.12084
FOXJ2	Hs.120844
THSD7A	Hs.120855
LRRC4B	Hs.120873
CD36	Hs.120949
RHAG	Hs.120950
C17orf85	Hs.120963
INPP5E	Hs.120998
HIST1H2AE	Hs.121017
SNX3	Hs.12102
SPATA3	Hs.121021
ZNHIT2	Hs.121025
ASPM	Hs.121028
MMAB	Hs.12106
CHMP2A	Hs.12107
CCDC87	Hs.121072
PPIL3	Hs.121076
SPINLW1	Hs.121084
CIAO1	Hs.12109
ACP5	Hs.1211
VNN1	Hs.12114
RNF39	Hs.121178
LOC440330	Hs.121180
C6orf94	Hs.121188
RGSL1	Hs.121200
MINPP1	Hs.121260
ZNF540	Hs.121283
LOC729627	Hs.121314
hCG_1655019	Hs.121321
MOBP	Hs.121333
CPNE9	Hs.121335
C10orf82	Hs.121347
LOC338588	Hs.121365
CXorf66	Hs.121384
TTTY5	Hs.121389
C6orf170	Hs.121396
PPWD1	Hs.121432
CCDC42	Hs.121438
KIAA1033	Hs.12144
DRD3	Hs.121478
HTR1D	Hs.121482
CLCN1	Hs.121483
BRS3	Hs.121484
CST5	Hs.121489
GLRA1	Hs.121490
SPAM1	Hs.121494
KCNE1	Hs.121495
GRM2	Hs.121510
SRPRB	Hs.12152
AMIGO2	Hs.121520
FAM54A	Hs.121536
WNT10A	Hs.121540
CST9L	Hs.121554
CTSD	Hs.121575
LOC402778	Hs.121575
COX19	Hs.121593
CST8	Hs.121602
RBMXL2	Hs.121605
RALYL	Hs.121663
ZFYVE19	Hs.121676
C17orf44	Hs.121692
TRIM17	Hs.121748
TEX11	Hs.121776
NCDN	Hs.121870
ADH4	Hs.1219
ARMC5	Hs.121915
GALK2	Hs.122006
ACOT6	Hs.122038
C7orf31	Hs.122055
STARD9	Hs.122061
SLC35C1	Hs.12211
DOK7	Hs.122110
EP400NL	Hs.122115
WDR72	Hs.122125
NPHS1	Hs.122186
C8ORFK29	Hs.122231
KLF11	Hs.12229
ABHD2	Hs.122337
MAD2L1BP	Hs.122346
WIPI2	Hs.122363
TTTY11	Hs.122396
LOC100131117	Hs.122417
CXXC4	Hs.12248
PRKXP1	Hs.12250
DEFB123	Hs.122509
CETN1	Hs.122511
SND1	Hs.122523
SMAD2	Hs.12253
MID2	Hs.12256
VMO1	Hs.122561
CRYGA	Hs.122566
LPAR2	Hs.122575
UGT2A3	Hs.122583
SPACA4	Hs.122599
ALAD	Hs.1227
FBXL6	Hs.12271
GNASAS	Hs.122718
CNTD1	Hs.12272
TAF2	Hs.122752
MGAM	Hs.122785
ATF7	Hs.12286
CDT1	Hs.122908
NR3C1	Hs.122926
CLIP4	Hs.122927
CXorf27	Hs.122959
TPTE	Hs.122986
FAM75A7	Hs.123004
HTR1B	Hs.123016
ADRA2C	Hs.123022
GABRA3	Hs.123024
GPR12	Hs.123034
SERPINB4	Hs.123035
ENTPD2	Hs.123036
HOXD10	Hs.123070
RAB3B	Hs.123072
GUCY2F	Hs.123074
BCL2L15	Hs.123106
KLK1	Hs.123107
CST1	Hs.123114
SLC12A1	Hs.123116
CTXN2	Hs.123116
SMAD9	Hs.123119
C3orf39	Hs.12313
SPAG4	Hs.123159
ALS2CR4	Hs.12319
LOC100288730	Hs.123191
MYO9B	Hs.123198
C14orf143	Hs.123232
BAT2	Hs.123239
ACRBP	Hs.123239
SHCBP1	Hs.123253
LOC257396	Hs.12326
PLEKHA7	Hs.12332
LOC283278	Hs.12332
RNF13	Hs.12333
ADAR	Hs.12341
TMEM52	Hs.123423
KLHDC4	Hs.123450
LOC100129637	Hs.123450
LPAR6	Hs.123464
ACTL7A	Hs.123530
CATSPER4	Hs.123532
TRIM16	Hs.123534
MAGEC2	Hs.123536
RP5-1022P6.6	Hs.123609
LOC339879	Hs.123633
LOC729375	Hs.123633
EPHA3	Hs.123642
SMPDL3B	Hs.123659
PCLO	Hs.12376
AMELY	Hs.1238
ANPEP	Hs.1239
TGDS	Hs.12393
OSR1	Hs.123933
TMEM90A	Hs.12400
CCDC151	Hs.124010
HAGHL	Hs.124015
SEPHS1	Hs.124027
ZNF829	Hs.124047
SST	Hs.12409
SYCN	Hs.124123
ARPC1A	Hs.124126
KIAA2022	Hs.124128
LOC151760	Hs.124136
KDM2A	Hs.124147
